job_title,required_skills,demand
AI Architect,Aws,106
AI Architect,Azure,108
AI Architect,Computer Vision,123
AI Architect,Data Visualization,108
AI Architect,Deep Learning,96
AI Architect,Docker,107
AI Architect,Gcp,117
AI Architect,Git,128
AI Architect,Hadoop,105
AI Architect,Java,123
AI Architect,Kubernetes,145
AI Architect,Linux,120
AI Architect,Mathematics,98
AI Architect,Mlops,121
AI Architect,Nlp,110
AI Architect,Python,209
AI Architect,Pytorch,154
AI Architect,R,127
AI Architect,Scala,136
AI Architect,Spark,116
AI Architect,Sql,191
AI Architect,Statistics,101
AI Architect,Tableau,119
AI Architect,Tensorflow,143
AI Consultant,Aws,107
AI Consultant,Azure,91
AI Consultant,Computer Vision,122
AI Consultant,Data Visualization,95
AI Consultant,Deep Learning,100
AI Consultant,Docker,88
AI Consultant,Gcp,121
AI Consultant,Git,118
AI Consultant,Hadoop,140
AI Consultant,Java,99
AI Consultant,Kubernetes,135
AI Consultant,Linux,130
AI Consultant,Mathematics,96
AI Consultant,Mlops,116
AI Consultant,Nlp,94
AI Consultant,Python,191
AI Consultant,Pytorch,159
AI Consultant,R,96
AI Consultant,Scala,140
AI Consultant,Spark,114
AI Consultant,Sql,172
AI Consultant,Statistics,77
AI Consultant,Tableau,105
AI Consultant,Tensorflow,144
AI Product Manager,Aws,91
AI Product Manager,Azure,96
AI Product Manager,Computer Vision,114
AI Product Manager,Data Visualization,128
AI Product Manager,Deep Learning,105
AI Product Manager,Docker,97
AI Product Manager,Gcp,111
AI Product Manager,Git,126
AI Product Manager,Hadoop,132
AI Product Manager,Java,122
AI Product Manager,Kubernetes,145
AI Product Manager,Linux,146
AI Product Manager,Mathematics,94
AI Product Manager,Mlops,122
AI Product Manager,Nlp,116
AI Product Manager,Python,241
AI Product Manager,Pytorch,133
AI Product Manager,R,127
AI Product Manager,Scala,135
AI Product Manager,Spark,125
AI Product Manager,Sql,167
AI Product Manager,Statistics,106
AI Product Manager,Tableau,136
AI Product Manager,Tensorflow,166
AI Research Scientist,Aws,106
AI Research Scientist,Azure,96
AI Research Scientist,Computer Vision,126
AI Research Scientist,Data Visualization,109
AI Research Scientist,Deep Learning,102
AI Research Scientist,Docker,99
AI Research Scientist,Gcp,125
AI Research Scientist,Git,103
AI Research Scientist,Hadoop,120
AI Research Scientist,Java,128
AI Research Scientist,Kubernetes,170
AI Research Scientist,Linux,123
AI Research Scientist,Mathematics,100
AI Research Scientist,Mlops,121
AI Research Scientist,Nlp,99
AI Research Scientist,Python,219
AI Research Scientist,Pytorch,134
AI Research Scientist,R,103
AI Research Scientist,Scala,135
AI Research Scientist,Spark,89
AI Research Scientist,Sql,161
AI Research Scientist,Statistics,75
AI Research Scientist,Tableau,107
AI Research Scientist,Tensorflow,155
AI Software Engineer,Aws,112
AI Software Engineer,Azure,119
AI Software Engineer,Computer Vision,107
AI Software Engineer,Data Visualization,120
AI Software Engineer,Deep Learning,106
AI Software Engineer,Docker,92
AI Software Engineer,Gcp,129
AI Software Engineer,Git,118
AI Software Engineer,Hadoop,112
AI Software Engineer,Java,102
AI Software Engineer,Kubernetes,156
AI Software Engineer,Linux,122
AI Software Engineer,Mathematics,94
AI Software Engineer,Mlops,88
AI Software Engineer,Nlp,99
AI Software Engineer,Python,221
AI Software Engineer,Pytorch,110
AI Software Engineer,R,120
AI Software Engineer,Scala,152
AI Software Engineer,Spark,121
AI Software Engineer,Sql,156
AI Software Engineer,Statistics,100
AI Software Engineer,Tableau,109
AI Software Engineer,Tensorflow,160
AI Specialist,Aws,111
AI Specialist,Azure,124
AI Specialist,Computer Vision,122
AI Specialist,Data Visualization,125
AI Specialist,Deep Learning,102
AI Specialist,Docker,94
AI Specialist,Gcp,123
AI Specialist,Git,135
AI Specialist,Hadoop,128
AI Specialist,Java,119
AI Specialist,Kubernetes,163
AI Specialist,Linux,142
AI Specialist,Mathematics,91
AI Specialist,Mlops,94
AI Specialist,Nlp,92
